context,question,label
"Phương thức giao tài sản
1. Tài sản được giao theo phương thức do các bên thỏa thuận; nếu không có thỏa thuận thì tài sản do bên bán giao một lần và trực tiếp cho bên mua.
2. Trường hợp theo thỏa thuận, bên bán giao tài sản cho bên mua thành nhiều lần mà bên bán thực hiện không đúng nghĩa vụ ở một lần nhất định thì bên mua có thể hủy bỏ phần hợp đồng liên quan đến lần vi phạm đó và yêu cầu bồi thường thiệt hại.",Nếu hai bên không có thoả thuận về phương thức thanh toán thì phương thức thanh toán được xác định như thế nào?,0
"Thời hạn thực hiện hợp đồng mua bán
1. Thời hạn thực hiện hợp đồng mua bán do các bên thỏa thuận. Bên bán phải giao tài sản cho bên mua đúng thời hạn đã thỏa thuận; bên bán chỉ được giao tài sản trước hoặc sau thời hạn nếu được bên mua đồng ý.
2. Khi các bên không thỏa thuận thời hạn giao tài sản thì bên mua có quyền yêu cầu bên bán giao tài sản và bên bán cũng có quyền yêu cầu bên mua nhận tài sản bất cứ lúc nào, nhưng phải báo trước cho nhau một thời gian hợp lý.
3. Bên mua thanh toán tiền mua theo thời gian thỏa thuận. Nếu không xác định hoặc xác định không rõ ràng thời gian thanh toán thì bên mua phải thanh toán ngay tại thời điểm nhận tài sản mua hoặc nhận giấy tờ chứng nhận quyền sở hữu tài sản.",Nếu hai bên không xác định rõ ràng thời gian thanh toán thì bên mua cần thanh toán lúc nào?,1
"Nghĩa vụ trả tiền
1. Bên mua có nghĩa vụ thanh toán tiền theo thời hạn, địa điểm và mức tiền được quy định trong hợp đồng.
2. Trường hợp các bên chỉ có thỏa thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền cũng được xác định tương ứng với thời hạn giao tài sản. Nếu các bên không có thỏa thuận về thời hạn giao tài sản và thời hạn thanh toán tiền thì bên mua phải thanh toán tiền tại thời điểm nhận tài sản.
3. Trường hợp bên mua không thực hiện đúng nghĩa vụ trả tiền thì phải trả lãi trên số tiền chậm trả theo quy định tại Điều 357 của Bộ luật này.",Nếu hai bên không xác định rõ ràng thời gian thanh toán thì bên mua cần thanh toán lúc nào?,0
"Trách nhiệm do giao tài sản không đúng số lượng
1. Trường hợp bên bán giao tài sản với số lượng nhiều hơn số lượng đã thỏa thuận thì bên mua có quyền nhận hoặc không nhận phần dôi ra; nếu nhận thì phải thanh toán đối với phần dôi ra theo giá được thỏa thuận trong hợp đồng, trừ trường hợp có thỏa thuận khác.
2. Trường hợp bên bán giao ít hơn số lượng đã thỏa thuận thì bên mua có một trong các quyền sau đây:
a) Nhận phần đã giao và định thời hạn để bên bán giao tiếp phần còn thiếu;
b) Nhận phần đã giao và yêu cầu bồi thường thiệt hại;
c) Hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại nếu việc vi phạm làm cho bên mua không đạt được mục đích giao kết hợp đồng.",Bên mua có quyền gì khi bên bán giao số lượng tài sản nhiều hơn đã thoả thuận?,1
"Phương thức giao tài sản
1. Tài sản được giao theo phương thức do các bên thỏa thuận; nếu không có thỏa thuận thì tài sản do bên bán giao một lần và trực tiếp cho bên mua.
2. Trường hợp theo thỏa thuận, bên bán giao tài sản cho bên mua thành nhiều lần mà bên bán thực hiện không đúng nghĩa vụ ở một lần nhất định thì bên mua có thể hủy bỏ phần hợp đồng liên quan đến lần vi phạm đó và yêu cầu bồi thường thiệt hại.",Bên mua có quyền gì khi bên bán giao số lượng tài sản nhiều hơn đã thoả thuận?,0
"Trách nhiệm do giao vật không đồng bộ
1. Trường hợp vật được giao không đồng bộ làm cho mục đích sử dụng của vật không đạt được thì bên mua có một trong các quyền sau đây:
a) Nhận và yêu cầu bên bán giao tiếp phần hoặc bộ phận còn thiếu, yêu cầu bồi thường thiệt hại và hoãn thanh toán phần hoặc bộ phận đã nhận cho đến khi vật được giao đồng bộ;
b) Hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại.
2. Trường hợp bên mua đã trả tiền nhưng chưa nhận vật do giao không đồng bộ thì được trả lãi đối với số tiền đã trả theo lãi suất thỏa thuận giữa các bên nhưng không được vượt quá mức lãi suất được quy định tại khoản 1 Điều 468 của Bộ luật này; nếu không có thỏa thuận thì thực hiện theo quy định tại khoản 2 Điều 468 của Bộ luật này và yêu cầu bên bán bồi thường thiệt hại do giao vật không đồng bộ, kể từ thời điểm phải thực hiện hợp đồng cho đến khi vật được giao đồng bộ.",Bên mua được trả lãi như thế nào nếu bên mua đã trả tiền nhưng vật không được giao đồng bộ?,1
"Nghĩa vụ trả tiền
1. Bên mua có nghĩa vụ thanh toán tiền theo thời hạn, địa điểm và mức tiền được quy định trong hợp đồng.
2. Trường hợp các bên chỉ có thỏa thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền cũng được xác định tương ứng với thời hạn giao tài sản. Nếu các bên không có thỏa thuận về thời hạn giao tài sản và thời hạn thanh toán tiền thì bên mua phải thanh toán tiền tại thời điểm nhận tài sản.
3. Trường hợp bên mua không thực hiện đúng nghĩa vụ trả tiền thì phải trả lãi trên số tiền chậm trả theo quy định tại Điều 357 của Bộ luật này.",Bên mua được trả lãi như thế nào nếu bên mua đã trả tiền nhưng vật không được giao đồng bộ?,0
"Nghĩa vụ trả tiền
1. Bên mua có nghĩa vụ thanh toán tiền theo thời hạn, địa điểm và mức tiền được quy định trong hợp đồng.
2. Trường hợp các bên chỉ có thỏa thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền cũng được xác định tương ứng với thời hạn giao tài sản. Nếu các bên không có thỏa thuận về thời hạn giao tài sản và thời hạn thanh toán tiền thì bên mua phải thanh toán tiền tại thời điểm nhận tài sản.
3. Trường hợp bên mua không thực hiện đúng nghĩa vụ trả tiền thì phải trả lãi trên số tiền chậm trả theo quy định tại Điều 357 của Bộ luật này.",Nếu bên bán và bên mua chỉ thoả thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền được xác định như thế nào?,1
"Thời hạn thực hiện hợp đồng mua bán
1. Thời hạn thực hiện hợp đồng mua bán do các bên thỏa thuận. Bên bán phải giao tài sản cho bên mua đúng thời hạn đã thỏa thuận; bên bán chỉ được giao tài sản trước hoặc sau thời hạn nếu được bên mua đồng ý.
2. Khi các bên không thỏa thuận thời hạn giao tài sản thì bên mua có quyền yêu cầu bên bán giao tài sản và bên bán cũng có quyền yêu cầu bên mua nhận tài sản bất cứ lúc nào, nhưng phải báo trước cho nhau một thời gian hợp lý.
3. Bên mua thanh toán tiền mua theo thời gian thỏa thuận. Nếu không xác định hoặc xác định không rõ ràng thời gian thanh toán thì bên mua phải thanh toán ngay tại thời điểm nhận tài sản mua hoặc nhận giấy tờ chứng nhận quyền sở hữu tài sản.",Nếu bên bán và bên mua chỉ thoả thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền được xác định như thế nào?,0
"Nghĩa vụ trả tiền
1. Bên mua có nghĩa vụ thanh toán tiền theo thời hạn, địa điểm và mức tiền được quy định trong hợp đồng.
2. Trường hợp các bên chỉ có thỏa thuận về thời hạn giao tài sản thì thời hạn thanh toán tiền cũng được xác định tương ứng với thời hạn giao tài sản. Nếu các bên không có thỏa thuận về thời hạn giao tài sản và thời hạn thanh toán tiền thì bên mua phải thanh toán tiền tại thời điểm nhận tài sản.
3. Trường hợp bên mua không thực hiện đúng nghĩa vụ trả tiền thì phải trả lãi trên số tiền chậm trả theo quy định tại Điều 357 của Bộ luật này.",Bên mua cần thanh toán tiền lúc nào trong trường hợp các bên không có thoả thuận về thời gian giao tài sản và thời hạn thanh toán?,1
"Thời hạn thực hiện hợp đồng mua bán
1. Thời hạn thực hiện hợp đồng mua bán do các bên thỏa thuận. Bên bán phải giao tài sản cho bên mua đúng thời hạn đã thỏa thuận; bên bán chỉ được giao tài sản trước hoặc sau thời hạn nếu được bên mua đồng ý.
2. Khi các bên không thỏa thuận thời hạn giao tài sản thì bên mua có quyền yêu cầu bên bán giao tài sản và bên bán cũng có quyền yêu cầu bên mua nhận tài sản bất cứ lúc nào, nhưng phải báo trước cho nhau một thời gian hợp lý.
3. Bên mua thanh toán tiền mua theo thời gian thỏa thuận. Nếu không xác định hoặc xác định không rõ ràng thời gian thanh toán thì bên mua phải thanh toán ngay tại thời điểm nhận tài sản mua hoặc nhận giấy tờ chứng nhận quyền sở hữu tài sản.",Bên mua cần thanh toán tiền lúc nào trong trường hợp các bên không có thoả thuận về thời gian giao tài sản và thời hạn thanh toán?,0
"Thời điểm chịu rủi ro
1. Bên bán chịu rủi ro đối với tài sản trước khi tài sản được giao cho bên mua, bên mua chịu rủi ro đối với tài sản kể từ thời điểm nhận tài sản, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.
2. Đối với hợp đồng mua bán tài sản mà pháp luật quy định tài sản đó phải đăng ký quyền sở hữu thì bên bán chịu rủi ro cho đến khi hoàn thành thủ tục đăng ký, bên mua chịu rủi ro kể từ thời điểm hoàn thành thủ tục đăng ký, trừ trường hợp có thỏa thuận khác.",Bên mua chịu rủi ro từ thời điểm nào khi tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?,1
"Quyền và nghĩa vụ của bên mua tài sản
1. Sử dụng tài sản và hưởng hoa lợi, lợi tức từ tài sản trong thời hạn bảo lưu quyền sở hữu có hiệu lực.
2. Chịu rủi ro về tài sản trong thời hạn bảo lưu quyền sở hữu, trừ trường hợp có thỏa thuận khác.",Bên mua chịu rủi ro từ thời điểm nào khi tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?,0
"Thời điểm chịu rủi ro
1. Bên bán chịu rủi ro đối với tài sản trước khi tài sản được giao cho bên mua, bên mua chịu rủi ro đối với tài sản kể từ thời điểm nhận tài sản, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.
2. Đối với hợp đồng mua bán tài sản mà pháp luật quy định tài sản đó phải đăng ký quyền sở hữu thì bên bán chịu rủi ro cho đến khi hoàn thành thủ tục đăng ký, bên mua chịu rủi ro kể từ thời điểm hoàn thành thủ tục đăng ký, trừ trường hợp có thỏa thuận khác.",Thời điểm chịu rủi ro của bên bán như thế nào nếu tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?,1
"Chịu rủi ro về tài sản
1. Chủ sở hữu phải chịu rủi ro về tài sản thuộc sở hữu của mình, trừ trường hợp có thỏa thuận khác hoặc Bộ luật này, luật khác có liên quan quy định khác.
2. Chủ thể có quyền khác đối với tài sản phải chịu rủi ro về tài sản trong phạm vi quyền của mình, trừ trường hợp có thỏa thuận khác với chủ sở hữu tài sản hoặc Bộ luật này, luật khác có liên quan quy định khác.",Thời điểm chịu rủi ro của bên bán như thế nào nếu tài sản trong hợp đồng mua bán phải đăng ký quyền sở hữu theo quy định của pháp luật?,0
"Chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu
1. Chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu do các bên thỏa thuận, trừ trường hợp pháp luật có quy định khác.
2. Trường hợp các bên không có thỏa thuận hoặc thỏa thuận không rõ ràng thì chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu được xác định theo chi phí đã được công bố, quy định của cơ quan có thẩm quyền hoặc theo tiêu chuẩn ngành nghề.
3. Trường hợp không có căn cứ xác định theo quy định tại khoản 1 và khoản 2 Điều này thì chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu được xác định theo tiêu chuẩn thông thường hoặc theo tiêu chuẩn riêng phù hợp với mục đích giao kết hợp đồng.
4. Trường hợp các bên không có thỏa thuận và pháp luật không quy định về chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu thì bên bán phải chịu chi phí vận chuyển đến địa điểm giao tài sản và chi phí liên quan đến việc chuyển quyền sở hữu.",Chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu được xác định như thế nào khi các bên không có thoả thuận rõ ràng?,1
"Cước phí vận chuyển
1. Mức cước phí vận chuyển do các bên thỏa thuận; nếu pháp luật có quy định về mức cước phí vận chuyển thì áp dụng mức cước phí đó.
2. Bên thuê vận chuyển phải thanh toán đủ cước phí vận chuyển sau khi tài sản được chuyển lên phương tiện vận chuyển, trừ trường hợp có thỏa thuận khác.",Chi phí vận chuyển và chi phí liên quan đến việc chuyển quyền sở hữu được xác định như thế nào khi các bên không có thoả thuận rõ ràng?,0
"Bảo đảm quyền sở hữu của bên mua đối với tài sản mua bán
1. Bên bán có nghĩa vụ bảo đảm quyền sở hữu đối với tài sản đã bán cho bên mua không bị người thứ ba tranh chấp.
2. Trường hợp tài sản bị người thứ ba tranh chấp thì bên bán phải đứng về phía bên mua để bảo vệ quyền lợi của bên mua; nếu người thứ ba có quyền sở hữu một phần hoặc toàn bộ tài sản mua bán thì bên mua có quyền hủy bỏ hợp đồng và yêu cầu bên bán bồi thường thiệt hại.
3. Trường hợp bên mua biết hoặc phải biết tài sản mua bán thuộc sở hữu của người thứ ba mà vẫn mua thì phải trả lại tài sản cho chủ sở hữu và không có quyền yêu cầu bồi thường thiệt hại.",Bên mua có quyền gì nếu tài sản mua bán bị người thứ ba tranh chấp do có quyền sở hữu một phần tài sản đó?,1
"Quyền và nghĩa vụ của bên mua tài sản
1. Sử dụng tài sản và hưởng hoa lợi, lợi tức từ tài sản trong thời hạn bảo lưu quyền sở hữu có hiệu lực.
2. Chịu rủi ro về tài sản trong thời hạn bảo lưu quyền sở hữu, trừ trường hợp có thỏa thuận khác.",Bên mua có quyền gì nếu tài sản mua bán bị người thứ ba tranh chấp do có quyền sở hữu một phần tài sản đó?,0
"Sửa chữa vật trong thời hạn bảo hành
1. Bên bán phải sửa chữa vật và bảo đảm vật có đủ các tiêu chuẩn chất lượng hoặc có đủ các đặc tính đã cam kết.
2. Bên bán chịu chi phí về sửa chữa và vận chuyển vật đến nơi sửa chữa và từ nơi sửa chữa đến nơi cư trú hoặc trụ sở của bên mua.
3. Bên mua có quyền yêu cầu bên bán hoàn thành việc sửa chữa trong thời hạn do các bên thỏa thuận hoặc trong một thời gian hợp lý; nếu bên bán không thể sửa chữa được hoặc không thể hoàn thành việc sửa chữa trong thời hạn đó thì bên mua có quyền yêu cầu giảm giá, đổi vật có khuyết tật lấy vật khác hoặc trả lại vật và lấy lại tiền.",Trong thời hạn bảo hành bên mua có quyền gì nếu bên bán không thể sửa chữa được vật có khuyết tật về kỹ thuật?,1
"Quyền yêu cầu bảo hành
Trong thời hạn bảo hành, nếu bên mua phát hiện được khuyết tật của vật mua bán thì có quyền yêu cầu bên bán sửa chữa không phải trả tiền, giảm giá, đổi vật có khuyết tật lấy vật khác hoặc trả lại vật và lấy lại tiền.",Trong thời hạn bảo hành bên mua có quyền gì nếu bên bán không thể sửa chữa được vật có khuyết tật về kỹ thuật?,0
"Bồi thường thiệt hại trong thời hạn bảo hành
1. Ngoài việc yêu cầu thực hiện các biện pháp bảo hành, bên mua có quyền yêu cầu bên bán bồi thường thiệt hại do khuyết tật về kỹ thuật của vật gây ra trong thời hạn bảo hành.
2. Bên bán không phải bồi thường thiệt hại nếu chứng minh được thiệt hại xảy ra do lỗi của bên mua. Bên bán được giảm mức bồi thường thiệt hại nếu bên mua không áp dụng các biện pháp cần thiết mà khả năng cho phép nhằm ngăn chặn, hạn chế thiệt hại.",Trong thời hạn bảo hành bên bán không phải bồi thường thiệt hại khi nào?,1
"Căn cứ phát sinh trách nhiệm bồi thường thiệt hại
1. Người nào có hành vi xâm phạm tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín, tài sản, quyền, lợi ích hợp pháp khác của người khác mà gây thiệt hại thì phải bồi thường, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác.
2. Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.
3. Trường hợp tài sản gây thiệt hại thì chủ sở hữu, người chiếm hữu tài sản phải chịu trách nhiệm bồi thường thiệt hại, trừ trường hợp thiệt hại phát sinh theo quy định tại khoản 2 Điều này.",Trong thời hạn bảo hành bên bán không phải bồi thường thiệt hại khi nào?,0
"Mua bán quyền tài sản
1. Trường hợp mua bán quyền tài sản thì bên bán phải chuyển giấy tờ và làm thủ tục chuyển quyền sở hữu cho bên mua, bên mua phải trả tiền cho bên bán.
2. Trường hợp quyền tài sản là quyền đòi nợ và bên bán cam kết bảo đảm khả năng thanh toán của người mắc nợ thì bên bán phải liên đới chịu trách nhiệm thanh toán, nếu khi đến hạn mà người mắc nợ không trả.
3. Thời điểm chuyển quyền sở hữu đối với quyền tài sản là thời điểm bên mua nhận được giấy tờ về quyền sở hữu đối với quyền tài sản đó hoặc từ thời điểm đăng ký việc chuyển quyền sở hữu, nếu pháp luật có quy định.",Đối với mua bán quyền tài sản thì thời điểm chuyển quyền sở hữu là khi nào?,1
"Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản
1. Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản thực hiện theo quy định của Bộ luật này, luật khác có liên quan; trường hợp luật không có quy định thì thực hiện theo thỏa thuận của các bên; trường hợp luật không quy định và các bên không có thỏa thuận thì thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản là thời điểm tài sản được chuyển giao.
Thời điểm tài sản được chuyển giao là thời điểm bên có quyền hoặc người đại diện hợp pháp của họ chiếm hữu tài sản.
2. Trường hợp tài sản chưa được chuyển giao mà phát sinh hoa lợi, lợi tức thì hoa lợi, lợi tức thuộc về bên có tài sản chuyển giao, trừ trường hợp có thỏa thuận khác.",Đối với mua bán quyền tài sản thì thời điểm chuyển quyền sở hữu là khi nào?,0
"Mua sau khi sử dụng thử
1. Các bên có thể thỏa thuận về việc bên mua được dùng thử vật mua trong một thời hạn gọi là thời hạn dùng thử. Trong thời hạn dùng thử, bên mua có thể trả lời mua hoặc không mua; nếu hết thời hạn dùng thử mà bên mua không trả lời thì coi như đã chấp nhận mua theo các điều kiện đã thỏa thuận trước khi nhận vật dùng thử.
Trường hợp các bên không thỏa thuận hoặc thỏa thuận không rõ ràng về thời hạn dùng thử thì thời hạn này được xác định theo tập quán của giao dịch có đối tượng cùng loại.
2. Trong thời hạn dùng thử, vật vẫn thuộc sở hữu của bên bán. Bên bán phải chịu mọi rủi ro xảy ra đối với vật, trừ trường hợp có thỏa thuận khác. Trong thời hạn dùng thử, bên bán không được bán, tặng cho, cho thuê, trao đổi, thế chấp, cầm cố tài sản khi bên mua chưa trả lời.
3. Trường hợp bên dùng thử trả lời không mua thì phải trả lại vật cho bên bán và phải bồi thường thiệt hại cho bên bán, nếu làm mất, hư hỏng vật dùng thử. Bên dùng thử không phải chịu trách nhiệm về những hao mòn thông thường do việc dùng thử gây ra và không phải hoàn trả hoa lợi do việc dùng thử mang lại.",Trong thời gian dùng thử vật mua thuộc sở hữu của bên nào?,1
"Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản
1. Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản thực hiện theo quy định của Bộ luật này, luật khác có liên quan; trường hợp luật không có quy định thì thực hiện theo thỏa thuận của các bên; trường hợp luật không quy định và các bên không có thỏa thuận thì thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản là thời điểm tài sản được chuyển giao.
Thời điểm tài sản được chuyển giao là thời điểm bên có quyền hoặc người đại diện hợp pháp của họ chiếm hữu tài sản.
2. Trường hợp tài sản chưa được chuyển giao mà phát sinh hoa lợi, lợi tức thì hoa lợi, lợi tức thuộc về bên có tài sản chuyển giao, trừ trường hợp có thỏa thuận khác.",Trong thời gian dùng thử vật mua thuộc sở hữu của bên nào?,0
"Hợp đồng trao đổi tài sản
1. Hợp đồng trao đổi tài sản là sự thỏa thuận giữa các bên, theo đó các bên giao tài sản và chuyển quyền sở hữu đối với tài sản cho nhau.
2. Hợp đồng trao đổi tài sản phải được lập thành văn bản, có công chứng, chứng thực hoặc đăng ký, nếu pháp luật có quy định.
3. Trường hợp một bên trao đổi cho bên kia tài sản không thuộc quyền sở hữu của mình hoặc không được chủ sở hữu ủy quyền thì bên kia có quyền hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại.
4. Mỗi bên đều được coi là người bán đối với tài sản giao cho bên kia và là người mua đối với tài sản nhận về. Các quy định về hợp đồng mua bán từ Điều 430 đến Điều 439, từ Điều 441 đến Điều 449 và Điều 454 của Bộ luật này cũng được áp dụng đối với hợp đồng trao đổi tài sản.",Hợp đồng trao đổi tài sản là gì?,1
"Hợp đồng vận chuyển tài sản
Hợp đồng vận chuyển tài sản là sự thỏa thuận giữa các bên, theo đó bên vận chuyển có nghĩa vụ chuyển tài sản đến địa điểm đã định theo thỏa thuận và giao tài sản đó cho người có quyền nhận, bên thuê vận chuyển có nghĩa vụ trả cước phí vận chuyển.",Hợp đồng trao đổi tài sản là gì?,0
